Film Tickness 1,Film Tickness 2,Film Tickness 3,Film Tickness 4,X,Y,Time,Reflectance
56011.101,0,0,0,36,0,2021/3/5 下午 02:41:37,13849.651
56106.4,0,0,0,31.18,18,2021/3/5 下午 02:41:38,13803.942
56058.154,0,0,0,18,31.18,2021/3/5 下午 02:41:42,13867.816
56051.823,0,0,0,0,36,2021/3/5 下午 02:41:44,13870.616
56048.201,0,0,0,-18,31.18,2021/3/5 下午 02:41:46,13842.157
56045.368,0,0,0,-31.18,18,2021/3/5 下午 02:41:47,13849.745
56044.409,0,0,0,-36,0,2021/3/5 下午 02:41:49,13814.131
56033.828,0,0,0,-31.18,-18,2021/3/5 下午 02:41:51,13831.089
56014.956,0,0,0,-18,-31.18,2021/3/5 下午 02:41:53,13823.784
54807.05,0,0,0,0,-36,2021/3/5 下午 02:41:54,13854.86
54794.603,0,0,0,18,-31.18,2021/3/5 下午 02:41:56,13869.336
56007.651,0,0,0,31.18,-18,2021/3/5 下午 02:41:58,13852.465
56047.409,0,0,0,72,0,2021/3/5 下午 02:42:00,14103.887
56042.06,0,0,0,67.66,24.63,2021/3/5 下午 02:42:02,14125.992
56028.936,0,0,0,55.16,46.28,2021/3/5 下午 02:42:03,14059.87
56032.077,0,0,0,36,62.35,2021/3/5 下午 02:42:07,14154.65
56016.269,0,0,0,12.5,70.91,2021/3/5 下午 02:42:09,14052.25
56035.937,0,0,0,-12.5,70.91,2021/3/5 下午 02:42:10,13984.83
56013.813,0,0,0,-36,62.35,2021/3/5 下午 02:42:12,14094.289
56004.82,0,0,0,-55.16,46.28,2021/3/5 下午 02:42:14,14060.665
56006.156,0,0,0,-67.66,24.63,2021/3/5 下午 02:42:15,13988.061
55984.466,0,0,0,-72,0,2021/3/5 下午 02:42:17,14053.717
56002.429,0,0,0,-67.66,-24.63,2021/3/5 下午 02:42:19,13988.512
56012.385,0,0,0,-55.16,-46.28,2021/3/5 下午 02:42:20,14048.3
56007.878,0,0,0,-36,-62.35,2021/3/5 下午 02:42:22,14052.194
55972.336,0,0,0,-12.5,-70.91,2021/3/5 下午 02:42:24,14136.509
54673.673,0,0,0,12.5,-70.91,2021/3/5 下午 02:42:25,14174.781
56019.945,0,0,0,36,-62.35,2021/3/5 下午 02:42:27,14168.128
56004.613,0,0,0,55.16,-46.28,2021/3/5 下午 02:42:29,14143.364
56122.687,0,0,0,67.66,-24.63,2021/3/5 下午 02:42:31,14077.754
54400.252,0,0,0,108,0,2021/3/5 下午 02:42:32,14162.071
54417.197,0,0,0,104.32,27.95,2021/3/5 下午 02:42:34,14212.79
54413.794,0,0,0,93.53,54,2021/3/5 下午 02:42:36,14181.642
54474.792,0,0,0,76.37,76.37,2021/3/5 下午 02:42:39,14177.577
54421.434,0,0,0,54,93.53,2021/3/5 下午 02:42:41,14175.966
54427.147,0,0,0,27.95,104.32,2021/3/5 下午 02:42:43,14197.658
54471.237,0,0,0,0,108,2021/3/5 下午 02:42:44,14168.368
54466.996,0,0,0,-27.95,104.32,2021/3/5 下午 02:42:46,14124.636
54474.719,0,0,0,-54,93.53,2021/3/5 下午 02:42:48,14095.709
54430.627,0,0,0,-76.37,76.37,2021/3/5 下午 02:42:49,14109.311
54365.263,0,0,0,-93.53,54,2021/3/5 下午 02:42:51,14103.69
54339.26,0,0,0,-104.32,27.95,2021/3/5 下午 02:42:52,14117.142
54339.965,0,0,0,-108,0,2021/3/5 下午 02:42:54,14118.41
54378.098,0,0,0,-104.32,-27.95,2021/3/5 下午 02:42:56,14120.914
54355.959,0,0,0,-93.53,-54,2021/3/5 下午 02:42:57,14083.253
54297.597,0,0,0,-76.37,-76.37,2021/3/5 下午 02:42:59,13996.911
54393.219,0,0,0,-54,-93.53,2021/3/5 下午 02:43:00,14061.455
54395.965,0,0,0,-27.95,-104.32,2021/3/5 下午 02:43:02,14088.022
54410.385,0,0,0,0,-108,2021/3/5 下午 02:43:04,14140.221
54419.348,0,0,0,27.95,-104.32,2021/3/5 下午 02:43:05,14144.495
54446.376,0,0,0,54,-93.53,2021/3/5 下午 02:43:07,14176.355
54461.703,0,0,0,76.37,-76.37,2021/3/5 下午 02:43:08,14180.984
54435.142,0,0,0,93.53,-54,2021/3/5 下午 02:43:10,14174.976
54440.569,0,0,0,104.32,-27.95,2021/3/5 下午 02:43:11,14170.59
54421.251,0,0,0,144,0,2021/3/5 下午 02:43:13,14193.176
54479.198,0,0,0,140.85,29.94,2021/3/5 下午 02:43:15,14230.256
54346.568,0,0,0,131.55,58.57,2021/3/5 下午 02:43:17,14206.365
54357.038,0,0,0,116.5,84.64,2021/3/5 下午 02:43:18,14198.474
54210.831,0,0,0,96.35,107.01,2021/3/5 下午 02:43:22,14191.413
54342.37,0,0,0,72,124.71,2021/3/5 下午 02:43:23,14185.77
54332.645,0,0,0,44.5,136.95,2021/3/5 下午 02:43:25,14164.514
54342.176,0,0,0,15.05,143.21,2021/3/5 下午 02:43:27,14125.897
54385.734,0,0,0,-15.05,143.21,2021/3/5 下午 02:43:28,14117.234
54404.258,0,0,0,-44.5,136.95,2021/3/5 下午 02:43:30,14085.08
54416.613,0,0,0,-72,124.71,2021/3/5 下午 02:43:31,14082.861
54406.667,0,0,0,-96.35,107.01,2021/3/5 下午 02:43:33,14091.361
54391.092,0,0,0,-116.5,84.64,2021/3/5 下午 02:43:34,14120.105
54386.384,0,0,0,-131.55,58.57,2021/3/5 下午 02:43:36,14142.276
54406.588,0,0,0,-140.85,29.94,2021/3/5 下午 02:43:37,14172.455
54361.329,0,0,0,-144,0,2021/3/5 下午 02:43:39,14183.474
